ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq,pre_close_qfq
159915.SZ,20230103,2.279,2.267,2.293,2.246,2.289,0.01,0.4388,4154350.34,943665.756,1.0,2.267,2.293,2.246,2.289,2.279
159915.SZ,20230104,2.289,2.28,2.283,2.255,2.267,-0.022,-0.9611,3642832.2,827058.629,1.0,2.28,2.283,2.255,2.267,2.289
159915.SZ,20230105,2.267,2.276,2.334,2.274,2.33,0.063,2.779,6603988.98,1524537.066,1.0,2.276,2.334,2.274,2.33,2.267
159915.SZ,20230106,2.33,2.321,2.368,2.315,2.35,0.02,0.8584,4965654.3,1164821.539,1.0,2.321,2.368,2.315,2.35,2.33
159915.SZ,20230109,2.35,2.361,2.382,2.356,2.365,0.015,0.6383,3195072.71,756781.804,1.0,2.361,2.382,2.356,2.365,2.35
159915.SZ,20230110,2.365,2.365,2.406,2.36,2.401,0.036,1.5222,3763983.22,898088.949,1.0,2.365,2.406,2.36,2.401,2.365
159915.SZ,20230111,2.401,2.401,2.409,2.369,2.374,-0.027,-1.1245,2923227.28,698040.666,1.0,2.401,2.409,2.369,2.374,2.401
159915.SZ,20230112,2.374,2.383,2.404,2.375,2.382,0.008,0.337,3475973.13,829707.689,1.0,2.383,2.404,2.375,2.382,2.374
159915.SZ,20230113,2.382,2.397,2.417,2.388,2.417,0.035,1.4694,3792201.61,909951.5,1.0,2.397,2.417,2.388,2.417,2.382
159915.SZ,20230116,2.417,2.421,2.492,2.417,2.462,0.045,1.8618,5158873.14,1269926.087,1.0,2.421,2.492,2.417,2.462,2.417
159915.SZ,20230117,2.462,2.465,2.483,2.46,2.47,0.008,0.3249,2462065.14,608463.04,1.0,2.465,2.483,2.46,2.47,2.462
159915.SZ,20230118,2.47,2.479,2.482,2.457,2.468,-0.002,-0.081,2641093.5,652164.937,1.0,2.479,2.482,2.457,2.468,2.47
159915.SZ,20230119,2.468,2.465,2.498,2.454,2.496,0.028,1.1345,3016618.04,748630.146,1.0,2.465,2.498,2.454,2.496,2.468
159915.SZ,20230120,2.496,2.505,2.518,2.495,2.507,0.011,0.4407,4008460.24,1004660.33,1.0,2.505,2.518,2.495,2.507,2.496
159915.SZ,20230130,2.507,2.577,2.579,2.532,2.533,0.026,1.0371,5683976.82,1450511.414,1.0,2.577,2.579,2.532,2.533,2.507
159915.SZ,20230131,2.533,2.533,2.543,2.497,2.507,-0.026,-1.0265,3745047.68,943675.151,1.0,2.533,2.543,2.497,2.507,2.533
159915.SZ,20230201,2.507,2.516,2.538,2.495,2.537,0.03,1.1966,4638570.96,1167804.024,1.0,2.516,2.538,2.495,2.537,2.507
159915.SZ,20230202,2.537,2.544,2.554,2.519,2.524,-0.013,-0.5124,3119553.63,791120.817,1.0,2.544,2.554,2.519,2.524,2.537
159915.SZ,20230203,2.524,2.515,2.527,2.475,2.5,-0.024,-0.9509,4632209.84,1158328.376,1.0,2.515,2.527,2.475,2.5,2.524
159915.SZ,20230206,2.5,2.486,2.486,2.449,2.468,-0.032,-1.28,4240242.24,1045613.923,1.0,2.486,2.486,2.449,2.468,2.5
159915.SZ,20230207,2.468,2.474,2.482,2.445,2.461,-0.007,-0.2836,3967825.26,976604.426,1.0,2.474,2.482,2.445,2.461,2.468
159915.SZ,20230208,2.461,2.466,2.475,2.445,2.447,-0.014,-0.5689,3929468.61,966329.485,1.0,2.466,2.475,2.445,2.447,2.461
159915.SZ,20230209,2.447,2.444,2.496,2.44,2.493,0.046,1.8799,4730293.58,1172120.59,1.0,2.444,2.496,2.44,2.493,2.447
159915.SZ,20230210,2.493,2.493,2.494,2.455,2.465,-0.028,-1.1231,4264097.95,1054102.719,1.0,2.493,2.494,2.455,2.465,2.493
159915.SZ,20230213,2.465,2.463,2.502,2.463,2.495,0.03,1.217,4003011.31,995868.215,1.0,2.463,2.502,2.463,2.495,2.465
159915.SZ,20230214,2.495,2.502,2.508,2.475,2.49,-0.005,-0.2004,2709498.48,673563.677,1.0,2.502,2.508,2.475,2.49,2.495
159915.SZ,20230215,2.49,2.488,2.498,2.466,2.468,-0.022,-0.8835,2759203.64,682666.615,1.0,2.488,2.498,2.466,2.468,2.49
159915.SZ,20230216,2.468,2.473,2.491,2.422,2.436,-0.032,-1.2966,4404393.97,1083733.097,1.0,2.473,2.491,2.422,2.436,2.468
159915.SZ,20230217,2.436,2.433,2.439,2.375,2.378,-0.058,-2.381,5949467.63,1429280.29,1.0,2.433,2.439,2.375,2.378,2.436
