ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq,pre_close_qfq
161129.SZ,20230103,1.155,1.155,1.159,1.155,1.159,0.004,0.3463,3594.02,416.186,1.0,1.155,1.159,1.155,1.159,1.155
161129.SZ,20230104,1.159,1.15,1.154,1.144,1.146,-0.013,-1.1217,7539.65,864.175,1.0,1.15,1.154,1.144,1.146,1.159
161129.SZ,20230105,1.146,1.103,1.163,1.103,1.157,0.011,0.9599,16582.23,1890.027,1.0,1.103,1.163,1.103,1.157,1.146
161129.SZ,20230106,1.157,1.152,1.163,1.145,1.15,-0.007,-0.605,7545.89,867.862,1.0,1.152,1.163,1.145,1.15,1.157
161129.SZ,20230109,1.15,1.144,1.15,1.144,1.149,-0.001,-0.087,5630.0,645.75,1.0,1.144,1.15,1.144,1.149,1.15
161129.SZ,20230110,1.149,1.15,1.151,1.144,1.144,-0.005,-0.4352,4054.0,464.688,1.0,1.15,1.151,1.144,1.144,1.149
161129.SZ,20230111,1.144,1.142,1.149,1.139,1.139,-0.005,-0.4371,2914.0,332.499,1.0,1.142,1.149,1.139,1.139,1.144
161129.SZ,20230112,1.139,1.147,1.156,1.147,1.147,0.008,0.7024,9667.7,1112.17,1.0,1.147,1.156,1.147,1.147,1.139
161129.SZ,20230113,1.147,1.155,1.155,1.145,1.148,0.001,0.0872,3724.66,428.025,1.0,1.155,1.155,1.145,1.148,1.147
161129.SZ,20230116,1.148,1.154,1.156,1.148,1.149,0.001,0.0871,6203.0,714.189,1.0,1.154,1.156,1.148,1.149,1.148
161129.SZ,20230117,1.149,1.138,1.148,1.138,1.144,-0.005,-0.4352,4431.02,506.387,1.0,1.138,1.148,1.138,1.144,1.149
161129.SZ,20230118,1.144,1.147,1.157,1.147,1.154,0.01,0.8741,9253.0,1067.045,1.0,1.147,1.157,1.147,1.154,1.144
161129.SZ,20230119,1.154,1.15,1.15,1.141,1.145,-0.009,-0.7799,2872.22,328.955,1.0,1.15,1.15,1.141,1.145,1.154
161129.SZ,20230120,1.145,1.157,1.17,1.157,1.17,0.025,2.1834,12912.74,1502.159,1.0,1.157,1.17,1.157,1.17,1.145
161129.SZ,20230130,1.17,1.171,1.172,1.162,1.168,-0.002,-0.1709,7999.92,932.734,1.0,1.171,1.172,1.162,1.168,1.17
161129.SZ,20230131,1.168,1.162,1.165,1.162,1.164,-0.004,-0.3425,4993.89,581.129,1.0,1.162,1.165,1.162,1.164,1.168
161129.SZ,20230201,1.164,1.165,1.178,1.165,1.175,0.011,0.945,9981.89,1172.19,1.0,1.165,1.178,1.165,1.175,1.164
161129.SZ,20230202,1.175,1.178,1.178,1.166,1.169,-0.006,-0.5106,5218.0,610.178,1.0,1.178,1.178,1.166,1.169,1.175
161129.SZ,20230203,1.169,1.169,1.169,1.162,1.165,-0.004,-0.3422,5106.0,594.54,1.0,1.169,1.169,1.162,1.165,1.169
161129.SZ,20230206,1.165,1.161,1.161,1.151,1.157,-0.008,-0.6867,4887.18,564.222,1.0,1.161,1.161,1.151,1.157,1.165
161129.SZ,20230207,1.157,1.157,1.174,1.157,1.165,0.008,0.6914,6294.07,734.05,1.0,1.157,1.174,1.157,1.165,1.157
161129.SZ,20230208,1.165,1.18,1.184,1.18,1.182,0.017,1.4592,13357.19,1578.592,1.0,1.18,1.184,1.18,1.182,1.165
161129.SZ,20230209,1.182,1.187,1.192,1.183,1.183,0.001,0.0846,10755.0,1277.458,1.0,1.187,1.192,1.183,1.183,1.182
