ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq
501018.SH,20160628,1.0,0.996,0.996,0.99,0.993,-0.007,-0.7,174819.76,17346.293,1.0,0.996,0.996,0.99,0.993
501018.SH,20160629,0.993,0.994,0.994,0.993,0.994,0.001,0.1007,48830.07,4849.845,1.0,0.994,0.994,0.993,0.994
501018.SH,20160630,0.994,0.994,0.994,0.993,0.993,-0.001,-0.1006,22372.74,2222.411,1.0,0.994,0.994,0.993,0.993
501018.SH,20160701,0.993,0.993,0.994,0.993,0.994,0.001,0.1007,26014.62,2583.274,1.0,0.993,0.994,0.993,0.994
501018.SH,20160704,0.994,0.994,0.994,0.993,0.993,-0.001,-0.1006,21603.64,2145.671,1.0,0.994,0.994,0.993,0.993
501018.SH,20160705,0.993,0.993,0.994,0.993,0.994,0.001,0.1007,21941.93,2179.088,1.0,0.993,0.994,0.993,0.994
501018.SH,20160706,0.994,0.993,0.994,0.989,0.991,-0.003,-0.3018,22068.38,2186.752,1.0,0.993,0.994,0.989,0.991
501018.SH,20160707,0.991,0.991,0.991,0.989,0.99,-0.001,-0.1009,12322.98,1220.235,1.0,0.991,0.991,0.989,0.99
501018.SH,20160708,0.99,0.989,0.989,0.986,0.988,-0.002,-0.202,3539.05,349.698,1.0,0.989,0.989,0.986,0.988
501018.SH,20160711,0.988,0.986,0.986,0.97,0.975,-0.013,-1.3158,23740.46,2317.749,1.0,0.986,0.986,0.97,0.975
501018.SH,20160712,0.975,0.975,0.975,0.966,0.973,-0.002,-0.2051,13924.34,1350.83,1.0,0.975,0.975,0.966,0.973
501018.SH,20160713,0.973,0.984,0.987,0.981,0.985,0.012,1.2333,20093.17,1976.896,1.0,0.984,0.987,0.981,0.985
501018.SH,20160714,0.985,0.978,0.981,0.97,0.973,-0.012,-1.2183,32715.79,3182.595,1.0,0.978,0.981,0.97,0.973
501018.SH,20160715,0.973,0.972,0.972,0.968,0.97,-0.003,-0.3083,5582.99,541.526,1.0,0.972,0.972,0.968,0.97
501018.SH,20160718,0.97,0.978,0.983,0.976,0.983,0.013,1.3402,16121.83,1577.618,1.0,0.978,0.983,0.976,0.983
501018.SH,20160719,0.983,0.983,0.983,0.973,0.976,-0.007,-0.7121,3076.22,300.041,1.0,0.983,0.983,0.973,0.976
501018.SH,20160720,0.976,0.971,0.975,0.971,0.972,-0.004,-0.4098,11897.69,1155.934,1.0,0.971,0.975,0.971,0.972
501018.SH,20160721,0.972,0.973,0.975,0.971,0.973,0.001,0.1029,7134.85,694.09,1.0,0.973,0.975,0.971,0.973
501018.SH,20160722,0.973,0.968,0.968,0.962,0.964,-0.009,-0.925,9752.54,940.152,1.0,0.968,0.968,0.962,0.964
501018.SH,20160725,0.964,0.962,0.962,0.955,0.955,-0.009,-0.9336,11871.55,1136.498,1.0,0.962,0.962,0.955,0.955
501018.SH,20160726,0.955,0.939,0.939,0.932,0.938,-0.017,-1.7801,28495.68,2664.826,1.0,0.939,0.939,0.932,0.938
501018.SH,20160727,0.938,0.93,0.936,0.93,0.932,-0.006,-0.6397,14852.38,1383.655,1.0,0.93,0.936,0.93,0.932
501018.SH,20160728,0.932,0.925,0.925,0.918,0.919,-0.013,-1.3948,21668.41,1994.399,1.0,0.925,0.925,0.918,0.919
501018.SH,20160729,0.919,0.901,0.907,0.901,0.905,-0.014,-1.5234,14179.77,1282.86,1.0,0.901,0.907,0.901,0.905
501018.SH,20160801,0.905,0.913,0.922,0.912,0.921,0.016,1.768,34367.58,3150.832,1.0,0.913,0.922,0.912,0.921
501018.SH,20160802,0.921,0.901,0.907,0.897,0.907,-0.014,-1.5201,154105.0,13879.067,1.0,0.901,0.907,0.897,0.907
501018.SH,20160803,0.907,0.9,0.904,0.898,0.903,-0.004,-0.441,52451.23,4729.35,1.0,0.9,0.904,0.898,0.903
501018.SH,20160804,0.903,0.91,0.912,0.896,0.899,-0.004,-0.443,138582.38,12493.776,1.0,0.91,0.912,0.896,0.899
501018.SH,20160805,0.899,0.89,0.89,0.882,0.884,-0.015,-1.6685,324023.7,28690.247,1.0,0.89,0.89,0.882,0.884
501018.SH,20160808,0.884,0.879,0.885,0.876,0.884,0.0,0.0,413744.96,36491.898,1.0,0.879,0.885,0.876,0.884
501018.SH,20160809,0.884,0.892,0.894,0.89,0.892,0.008,0.905,235437.79,21005.011,1.0,0.892,0.894,0.89,0.892
501018.SH,20160810,0.892,0.893,0.893,0.887,0.889,-0.003,-0.3363,152124.54,13553.53,1.0,0.893,0.893,0.887,0.889
501018.SH,20160811,0.889,0.88,0.881,0.877,0.88,-0.009,-1.0124,189979.01,16700.141,1.0,0.88,0.881,0.877,0.88
501018.SH,20160812,0.88,0.903,0.913,0.903,0.908,0.028,3.1818,314826.03,28564.032,1.0,0.903,0.913,0.903,0.908
501018.SH,20160815,0.908,0.921,0.925,0.921,0.924,0.016,1.7621,208308.7,19237.333,1.0,0.921,0.925,0.921,0.924
501018.SH,20160816,0.924,0.936,0.938,0.931,0.932,0.008,0.8658,160302.36,14984.171,1.0,0.936,0.938,0.931,0.932
501018.SH,20160817,0.932,0.95,0.951,0.948,0.949,0.017,1.824,91620.58,8698.753,1.0,0.95,0.951,0.948,0.949
501018.SH,20160818,0.949,0.959,0.959,0.95,0.958,0.009,0.9484,288483.34,27506.826,1.0,0.959,0.959,0.95,0.958
501018.SH,20160819,0.958,0.98,0.99,0.978,0.988,0.03,3.1315,88536.0,8696.044,1.0,0.98,0.99,0.978,0.988
501018.SH,20160822,0.988,0.985,0.985,0.974,0.974,-0.014,-1.417,169383.28,16594.943,1.0,0.985,0.985,0.974,0.974
501018.SH,20160823,0.974,0.957,0.957,0.945,0.95,-0.024,-2.4641,121400.24,11508.559,1.0,0.957,0.957,0.945,0.95
501018.SH,20160824,0.95,0.965,0.968,0.962,0.963,0.013,1.3684,73905.26,7136.752,1.0,0.965,0.968,0.962,0.963
501018.SH,20160825,0.963,0.956,0.961,0.954,0.961,-0.002,-0.2077,75023.1,7173.553,1.0,0.956,0.961,0.954,0.961
501018.SH,20160826,0.961,0.962,0.964,0.962,0.963,0.002,0.2081,33319.0,3208.207,1.0,0.962,0.964,0.962,0.963
501018.SH,20160829,0.963,0.965,0.966,0.962,0.963,0.0,0.0,25264.94,2436.763,1.0,0.965,0.966,0.962,0.963
501018.SH,20160830,0.963,0.964,0.972,0.964,0.971,0.008,0.8307,51445.71,4995.542,1.0,0.964,0.972,0.964,0.971
501018.SH,20160831,0.971,0.96,0.965,0.96,0.963,-0.008,-0.8239,50643.98,4873.249,1.0,0.96,0.965,0.96,0.963
501018.SH,20160901,0.963,0.948,0.949,0.945,0.947,-0.016,-1.6615,64663.62,6126.411,1.0,0.948,0.949,0.945,0.947
501018.SH,20160902,0.947,0.93,0.945,0.93,0.935,-0.012,-1.2672,79211.44,7389.035,1.0,0.93,0.945,0.93,0.935
501018.SH,20160905,0.935,0.937,0.947,0.937,0.946,0.011,1.1765,22512.4,2121.737,1.0,0.937,0.947,0.937,0.946
501018.SH,20160906,0.946,0.936,0.945,0.934,0.936,-0.01,-1.0571,297624.07,27859.906,1.0,0.936,0.945,0.934,0.936
501018.SH,20160907,0.936,0.927,0.928,0.923,0.927,-0.009,-0.9615,302557.97,27993.668,1.0,0.927,0.928,0.923,0.927
501018.SH,20160908,0.927,0.939,0.943,0.939,0.943,0.016,1.726,116319.46,10934.973,1.0,0.939,0.943,0.939,0.943
501018.SH,20160909,0.943,0.956,0.96,0.951,0.951,0.008,0.8484,211642.08,20188.127,1.0,0.956,0.96,0.951,0.951
501018.SH,20160912,0.951,0.924,0.925,0.919,0.924,-0.027,-2.8391,167557.51,15459.932,1.0,0.924,0.925,0.919,0.924
501018.SH,20160913,0.924,0.934,0.937,0.931,0.932,0.008,0.8658,82466.0,7709.277,1.0,0.934,0.937,0.931,0.932
501018.SH,20160914,0.932,0.924,0.927,0.923,0.927,-0.005,-0.5365,35754.5,3303.992,1.0,0.924,0.927,0.923,0.927
501018.SH,20160919,0.927,0.91,0.914,0.909,0.912,-0.015,-1.6181,220820.33,20126.297,1.0,0.91,0.914,0.909,0.912
