ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq,pre_close_qfq
501018.SH,20230103,1.215,1.217,1.225,1.215,1.224,0.009,0.7407,3314.0,404.869,1.0,1.217,1.225,1.215,1.224,1.215
501018.SH,20230104,1.224,1.188,1.202,1.188,1.201,-0.023,-1.8791,20201.69,2415.274,1.0,1.188,1.202,1.188,1.201,1.224
501018.SH,20230105,1.201,1.18,1.185,1.168,1.181,-0.02,-1.6653,23356.15,2756.825,1.0,1.18,1.185,1.168,1.181,1.201
501018.SH,20230106,1.181,1.186,1.192,1.184,1.192,0.011,0.9314,9597.44,1140.391,1.0,1.186,1.192,1.184,1.192,1.181
501018.SH,20230109,1.192,1.16,1.165,1.15,1.162,-0.03,-2.5168,70603.51,8176.315,1.0,1.16,1.165,1.15,1.162,1.192
501018.SH,20230110,1.162,1.127,1.135,1.122,1.129,-0.033,-2.8399,123133.77,13892.251,1.0,1.127,1.135,1.122,1.129,1.162
501018.SH,20230111,1.129,1.115,1.117,1.113,1.115,-0.014,-1.24,96698.21,10783.179,1.0,1.115,1.117,1.113,1.115,1.129
501018.SH,20230112,1.115,1.133,1.134,1.122,1.127,0.012,1.0762,77658.6,8741.692,1.0,1.133,1.134,1.122,1.127,1.115
501018.SH,20230113,1.127,1.13,1.13,1.123,1.124,-0.003,-0.2662,60033.35,6752.445,1.0,1.13,1.13,1.123,1.124,1.127
501018.SH,20230116,1.124,1.133,1.137,1.132,1.134,0.01,0.8897,67444.92,7649.868,1.0,1.133,1.137,1.132,1.134,1.124
501018.SH,20230117,1.134,1.132,1.144,1.128,1.139,0.005,0.4409,38733.85,4401.022,1.0,1.132,1.144,1.128,1.139,1.134
501018.SH,20230118,1.139,1.155,1.167,1.155,1.165,0.026,2.2827,60945.9,7073.95,1.0,1.155,1.167,1.155,1.165,1.139
501018.SH,20230119,1.165,1.148,1.148,1.137,1.147,-0.018,-1.5451,82440.72,9404.371,1.0,1.148,1.148,1.137,1.147,1.165
501018.SH,20230120,1.147,1.166,1.172,1.166,1.172,0.025,2.1796,84628.71,9902.089,1.0,1.166,1.172,1.166,1.172,1.147
501018.SH,20230130,1.172,1.165,1.165,1.153,1.157,-0.015,-1.2799,113487.56,13150.449,1.0,1.165,1.165,1.153,1.157,1.172
501018.SH,20230131,1.157,1.14,1.151,1.14,1.143,-0.014,-1.21,51728.61,5930.217,1.0,1.14,1.151,1.14,1.143,1.157
501018.SH,20230201,1.143,1.151,1.154,1.15,1.151,0.008,0.6999,45598.32,5252.235,1.0,1.151,1.154,1.15,1.151,1.143
501018.SH,20230202,1.151,1.141,1.144,1.135,1.141,-0.01,-0.8688,66434.61,7565.36,1.0,1.141,1.144,1.135,1.141,1.151
501018.SH,20230203,1.141,1.136,1.14,1.133,1.14,-0.001,-0.0876,40912.46,4646.411,1.0,1.136,1.14,1.133,1.14,1.141
501018.SH,20230206,1.14,1.124,1.128,1.12,1.126,-0.014,-1.2281,43705.54,4912.807,1.0,1.124,1.128,1.12,1.126,1.14
501018.SH,20230207,1.126,1.123,1.13,1.119,1.129,0.003,0.2664,85577.28,9632.788,1.0,1.123,1.13,1.119,1.129,1.126
501018.SH,20230208,1.129,1.134,1.137,1.13,1.132,0.003,0.2657,64761.92,7344.032,1.0,1.134,1.137,1.13,1.132,1.129
501018.SH,20230209,1.132,1.133,1.137,1.133,1.137,0.005,0.4417,104525.61,11863.063,1.0,1.133,1.137,1.133,1.137,1.132
501018.SH,20230210,1.137,1.131,1.133,1.128,1.133,-0.004,-0.3518,52914.35,5979.979,1.0,1.131,1.133,1.128,1.133,1.137
501018.SH,20230213,1.133,1.144,1.15,1.144,1.147,0.014,1.2357,103936.15,11924.162,1.0,1.144,1.15,1.144,1.147,1.133
501018.SH,20230214,1.147,1.149,1.153,1.147,1.152,0.005,0.4359,70210.2,8067.843,1.0,1.149,1.153,1.147,1.152,1.147
501018.SH,20230215,1.152,1.148,1.15,1.142,1.146,-0.006,-0.5208,31269.62,3581.271,1.0,1.148,1.15,1.142,1.146,1.152
