ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq
510180.SH,20060518,3.045,2.99,3.05,2.952,3.008,-0.037,-1.2151,829090.07,247482.675,1.0,0.872,0.89,0.861,0.877
510180.SH,20060519,3.008,2.991,3.185,2.991,3.097,0.089,2.9588,505585.93,155558.157,1.0,0.873,0.929,0.873,0.903
510180.SH,20060522,3.097,3.1,3.16,3.07,3.121,0.024,0.7749,337416.88,105562.327,1.0,0.904,0.922,0.896,0.91
510180.SH,20060523,3.121,3.05,3.155,2.98,2.997,-0.124,-3.9731,288740.39,87670.805,1.0,0.89,0.92,0.869,0.874
510180.SH,20060524,2.997,3.005,3.051,2.928,2.957,-0.04,-1.3347,227894.99,68255.865,1.0,0.877,0.89,0.854,0.863
510180.SH,20060525,2.957,2.958,3.01,2.951,2.976,0.019,0.6425,48851.03,14495.469,1.0,0.863,0.878,0.861,0.868
510180.SH,20060526,2.976,2.976,3.045,2.976,3.033,0.057,1.9153,149146.23,45042.955,1.0,0.868,0.888,0.868,0.885
510180.SH,20060529,3.033,3.033,3.129,3.033,3.128,0.095,3.1322,141337.23,43639.32,1.0,0.885,0.913,0.885,0.912
510180.SH,20060530,3.128,3.13,3.162,3.122,3.148,0.02,0.6394,65591.21,20618.14,1.0,0.913,0.922,0.911,0.918
510180.SH,20060531,3.148,3.14,3.172,3.1,3.12,-0.028,-0.8895,140222.72,44132.756,1.0,0.916,0.925,0.904,0.91
510180.SH,20060601,3.12,3.12,3.225,3.115,3.222,0.102,3.2692,47601.66,15212.181,1.0,0.91,0.941,0.909,0.94
510180.SH,20060602,3.222,3.25,3.258,3.18,3.2,-0.022,-0.6828,31852.03,10245.594,1.0,0.948,0.95,0.928,0.933
510180.SH,20060605,3.2,3.2,3.2,3.13,3.194,-0.006,-0.1875,46303.86,14685.23,1.0,0.933,0.933,0.913,0.932
510180.SH,20060606,3.194,3.189,3.22,3.16,3.192,-0.002,-0.0626,13335.1,4261.924,1.0,0.93,0.939,0.922,0.931
510180.SH,20060607,3.192,3.192,3.192,3.0,3.032,-0.16,-5.0125,61443.94,19013.235,1.0,0.931,0.931,0.875,0.884
510180.SH,20060608,3.032,3.0,3.05,2.98,3.03,-0.002,-0.066,22794.52,6833.891,1.0,0.875,0.89,0.869,0.884
510180.SH,20060609,3.03,3.015,3.09,2.982,2.984,-0.046,-1.5182,59367.13,17866.353,1.0,0.88,0.901,0.87,0.87
510180.SH,20060612,2.984,2.98,3.003,2.946,2.98,-0.004,-0.134,46517.9,13775.735,1.0,0.869,0.876,0.859,0.869
510180.SH,20060613,2.98,2.981,3.011,2.97,2.985,0.005,0.1678,7595.28,2277.868,1.0,0.87,0.878,0.866,0.871
510180.SH,20060614,2.985,2.98,2.98,2.938,2.953,-0.032,-1.072,46302.77,13634.662,1.0,0.869,0.869,0.857,0.861
510180.SH,20060615,2.953,2.956,2.985,2.95,2.951,-0.002,-0.0677,171748.31,50935.922,1.0,0.862,0.871,0.861,0.861
510180.SH,20060616,2.951,2.963,3.05,2.963,3.018,0.067,2.2704,92972.01,28057.03,1.0,0.864,0.89,0.864,0.88
510180.SH,20060619,3.018,3.01,3.07,2.979,3.053,0.035,1.1597,39110.62,11861.704,1.0,0.878,0.896,0.869,0.891
510180.SH,20060620,3.053,3.06,3.1,3.03,3.065,0.012,0.3931,21648.18,6611.164,1.0,0.893,0.904,0.884,0.894
510180.SH,20060621,3.065,3.065,3.085,3.042,3.06,-0.005,-0.1631,9714.69,2972.84,1.0,0.894,0.9,0.887,0.893
510180.SH,20060622,3.06,3.047,3.07,3.047,3.055,-0.005,-0.1634,21286.27,6521.245,1.0,0.889,0.896,0.889,0.891
510180.SH,20060623,3.055,3.052,3.069,3.021,3.067,0.012,0.3928,7516.17,2299.817,1.0,0.89,0.895,0.881,0.895
510180.SH,20060626,3.067,3.038,3.125,3.038,3.123,0.056,1.8259,11558.5,3586.939,1.0,0.886,0.912,0.886,0.911
510180.SH,20060627,3.123,3.148,3.148,3.109,3.123,0.0,0.0,4016.77,1254.613,1.0,0.918,0.918,0.907,0.911
510180.SH,20060628,3.123,3.12,3.13,3.1,3.121,-0.002,-0.064,8264.2,2585.151,1.0,0.91,0.913,0.904,0.91
510180.SH,20060629,3.121,3.121,3.198,3.121,3.194,0.073,2.339,19560.43,6204.07,1.0,0.91,0.933,0.91,0.932
510180.SH,20060630,3.194,3.19,3.221,3.19,3.198,0.004,0.1252,11461.22,3673.153,1.0,0.931,0.94,0.931,0.933
510180.SH,20060703,3.198,3.181,3.255,3.181,3.255,0.057,1.7824,22225.58,7190.178,1.0,0.928,0.95,0.928,0.95
510180.SH,20060704,3.255,3.262,3.268,3.206,3.242,-0.013,-0.3994,58397.82,18854.219,1.0,0.952,0.953,0.935,0.946
510180.SH,20060705,3.242,3.242,3.242,3.155,3.201,-0.041,-1.2647,19117.22,6093.317,1.0,0.946,0.946,0.92,0.934
510180.SH,20060706,3.201,3.2,3.242,3.2,3.242,0.041,1.2808,10413.43,3362.677,1.0,0.933,0.946,0.933,0.946
510180.SH,20060707,3.242,3.26,3.26,3.22,3.227,-0.015,-0.4627,5912.75,1914.056,1.0,0.951,0.951,0.939,0.941
510180.SH,20060710,3.227,3.224,3.227,3.18,3.227,0.0,0.0,4646.04,1493.465,1.0,0.94,0.941,0.928,0.941
510180.SH,20060711,3.227,3.182,3.233,3.182,3.232,0.005,0.1549,6575.64,2118.476,1.0,0.928,0.943,0.928,0.943
510180.SH,20060712,3.232,3.21,3.258,3.21,3.242,0.01,0.3094,10608.17,3447.261,1.0,0.936,0.95,0.936,0.946
510180.SH,20060713,3.242,3.237,3.237,3.107,3.107,-0.135,-4.1641,19442.16,6088.569,1.0,0.944,0.944,0.906,0.906
510180.SH,20060714,3.107,3.1,3.13,3.09,3.11,0.003,0.0966,7628.14,2369.976,1.0,0.904,0.913,0.901,0.907
510180.SH,20060717,3.11,3.106,3.134,3.06,3.13,0.02,0.6431,2035.0,635.16,1.0,0.906,0.914,0.893,0.913
510180.SH,20060718,3.13,3.1,3.143,3.1,3.119,-0.011,-0.3514,3725.06,1161.147,1.0,0.904,0.917,0.904,0.91
510180.SH,20060719,3.119,3.1,3.129,3.05,3.114,-0.005,-0.1603,35108.96,10837.347,1.0,0.904,0.913,0.89,0.908
510180.SH,20060720,3.114,3.114,3.114,3.06,3.09,-0.024,-0.7707,882.65,270.992,1.0,0.908,0.908,0.893,0.901
510180.SH,20060721,3.09,3.08,3.1,3.08,3.087,-0.003,-0.0971,2303.25,711.062,1.0,0.898,0.904,0.898,0.901
510180.SH,20060724,3.087,3.07,3.1,3.03,3.095,0.008,0.2592,5482.38,1694.895,1.0,0.896,0.904,0.884,0.903
510180.SH,20060725,3.095,3.1,3.147,3.1,3.134,0.039,1.2601,10908.69,3407.996,1.0,0.904,0.918,0.904,0.914
510180.SH,20060726,3.134,3.134,3.134,3.13,3.13,-0.004,-0.1276,1253.0,392.406,1.0,0.914,0.914,0.913,0.913
510180.SH,20060727,3.13,3.145,3.145,3.096,3.11,-0.02,-0.639,2958.01,922.013,1.0,0.917,0.917,0.903,0.907
510180.SH,20060728,3.11,3.115,3.115,3.05,3.075,-0.035,-1.1254,1031.64,316.746,1.0,0.909,0.909,0.89,0.897
510180.SH,20060731,3.075,3.03,3.075,3.004,3.013,-0.062,-2.0163,2653.94,803.284,1.0,0.884,0.897,0.876,0.879
510180.SH,20060801,3.013,3.014,3.014,2.97,2.976,-0.037,-1.228,2714.7,812.964,1.0,0.879,0.879,0.866,0.868
510180.SH,20060802,2.976,2.976,2.986,2.9,2.925,-0.051,-1.7137,10466.85,3098.63,1.0,0.868,0.871,0.846,0.853
510180.SH,20060803,2.925,2.91,2.956,2.91,2.933,0.008,0.2735,1428.75,419.302,1.0,0.849,0.862,0.849,0.856
510180.SH,20060804,2.933,2.94,2.94,2.891,2.892,-0.041,-1.3979,7113.42,2075.946,1.0,0.858,0.858,0.843,0.844
510180.SH,20060807,2.892,2.905,2.905,2.839,2.839,-0.053,-1.8326,54295.27,15528.417,1.0,0.847,0.847,0.828,0.828
510180.SH,20060808,2.839,2.85,2.889,2.838,2.886,0.047,1.6555,3667.52,1047.874,1.0,0.831,0.843,0.828,0.842
510180.SH,20060809,2.886,2.889,2.9,2.87,2.892,0.006,0.2079,1704.61,491.111,1.0,0.843,0.846,0.837,0.844
510180.SH,20060810,2.892,2.887,2.938,2.887,2.92,0.028,0.9682,2299.09,668.839,1.0,0.842,0.857,0.842,0.852
510180.SH,20060811,2.92,2.923,2.93,2.88,2.914,-0.006,-0.2055,1446.25,420.141,1.0,0.853,0.855,0.84,0.85
510180.SH,20060814,2.914,2.915,2.95,2.841,2.871,-0.043,-1.4756,4135.43,1207.978,1.0,0.85,0.861,0.829,0.838
510180.SH,20060815,2.871,2.872,2.939,2.86,2.915,0.044,1.5326,3388.39,979.327,1.0,0.838,0.857,0.834,0.85
510180.SH,20060816,2.915,2.942,2.96,2.915,2.957,0.042,1.4408,9266.92,2730.125,1.0,0.858,0.863,0.85,0.863
510180.SH,20060817,2.957,2.92,2.949,2.92,2.924,-0.033,-1.116,3753.0,1097.152,1.0,0.852,0.86,0.852,0.853
510180.SH,20060818,2.924,2.925,2.925,2.92,2.921,-0.003,-0.1026,1132.0,330.877,1.0,0.853,0.853,0.852,0.852
510180.SH,20060821,2.921,2.88,2.911,2.85,2.911,-0.01,-0.3423,2108.6,608.841,1.0,0.84,0.849,0.831,0.849
510180.SH,20060822,2.911,2.92,2.932,2.913,2.931,0.02,0.687,1839.5,538.591,1.0,0.852,0.855,0.85,0.855
510180.SH,20060823,2.931,2.931,2.972,2.931,2.95,0.019,0.6482,3597.57,1063.201,1.0,0.855,0.867,0.855,0.861
510180.SH,20060824,2.95,2.92,2.97,2.91,2.968,0.018,0.6102,2313.22,681.938,1.0,0.852,0.866,0.849,0.866
510180.SH,20060825,2.968,2.96,2.999,2.96,2.971,0.003,0.1011,5434.41,1624.089,1.0,0.863,0.875,0.863,0.867
510180.SH,20060828,2.971,2.958,3.1,2.958,3.06,0.089,2.9956,21114.49,6406.403,1.0,0.863,0.904,0.863,0.893
510180.SH,20060829,3.06,3.084,3.087,3.05,3.07,0.01,0.3268,7883.89,2420.965,1.0,0.9,0.901,0.89,0.896
510180.SH,20060830,3.07,2.985,3.06,2.985,3.06,-0.01,-0.3257,2226.82,676.619,1.0,0.871,0.893,0.871,0.893
510180.SH,20060831,3.06,3.033,3.055,3.033,3.055,-0.005,-0.1634,444.7,135.691,1.0,0.885,0.891,0.885,0.891
510180.SH,20060901,3.055,3.012,3.088,2.978,3.032,-0.023,-0.7529,5130.95,1550.106,1.0,0.879,0.901,0.869,0.884
510180.SH,20060904,3.032,3.0,3.05,3.0,3.038,0.006,0.1979,2539.79,769.41,1.0,0.875,0.89,0.875,0.886
510180.SH,20060905,3.038,3.038,3.089,3.038,3.051,0.013,0.4279,2547.15,783.724,1.0,0.886,0.901,0.886,0.89
