ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq,pre_close_qfq
510180.SH,20230103,3.449,3.443,3.462,3.404,3.458,0.009,0.2609,225805.55,77587.147,3.069,10.566567,10.624878,10.446876,10.612602,10.584981
510180.SH,20230104,3.458,3.456,3.473,3.448,3.466,0.008,0.2313,172855.0,59825.217,3.069,10.606464,10.658637,10.581912,10.637154,10.612602
510180.SH,20230105,3.466,3.471,3.527,3.471,3.519,0.053,1.5291,243010.25,85305.426,3.069,10.652499,10.824363,10.652499,10.799811,10.637154
510180.SH,20230106,3.519,3.519,3.542,3.517,3.532,0.013,0.3694,206569.76,72878.093,3.069,10.799811,10.870398,10.793673,10.839708,10.799811
510180.SH,20230109,3.532,3.533,3.566,3.533,3.556,0.024,0.6795,264506.0,93977.174,3.069,10.842777,10.944054,10.842777,10.913364,10.839708
510180.SH,20230110,3.556,3.559,3.567,3.546,3.55,-0.006,-0.1687,238471.0,84753.238,3.069,10.922571,10.947123,10.882674,10.89495,10.913364
510180.SH,20230111,3.55,3.55,3.578,3.546,3.552,0.002,0.0563,232874.5,83029.684,3.069,10.89495,10.980882,10.882674,10.901088,10.89495
510180.SH,20230112,3.552,3.56,3.569,3.545,3.557,0.005,0.1408,310716.0,110512.542,3.069,10.92564,10.953261,10.879605,10.916433,10.901088
510180.SH,20230113,3.557,3.558,3.609,3.558,3.608,0.051,1.4338,300711.0,107742.021,3.069,10.919502,11.076021,10.919502,11.072952,10.916433
510180.SH,20230116,3.608,3.603,3.692,3.603,3.659,0.051,1.4135,442007.5,161869.589,3.069,11.057607,11.330748,11.057607,11.229470999999998,11.072952
510180.SH,20230117,3.659,3.637,3.658,3.631,3.644,-0.015,-0.4099,236693.5,86234.071,3.069,11.161953,11.226402,11.143539,11.183436,11.229470999999998
510180.SH,20230118,3.644,3.643,3.656,3.632,3.632,-0.012,-0.3293,219424.0,79958.404,3.069,11.180367,11.220264,11.146608,11.146608,11.183436
510180.SH,20230119,3.632,3.639,3.652,3.606,3.648,0.016,0.4405,224008.26,81267.712,3.069,11.168091,11.207988,11.066814,11.195712,11.146608
510180.SH,20230120,3.648,3.65,3.686,3.65,3.677,0.029,0.795,303765.26,111586.35,3.069,11.20185,11.312334,11.20185,11.284713,11.195712
510180.SH,20230130,3.677,3.714,3.747,3.677,3.677,0.0,0.0,620682.5,229825.323,3.069,11.398266,11.499543,11.284713,11.284713,11.284713
510180.SH,20230131,3.677,3.678,3.694,3.636,3.64,-0.037,-1.0063,399595.51,146495.85,3.069,11.287782,11.336886,11.158884,11.17116,11.284713
510180.SH,20230201,3.64,3.642,3.668,3.618,3.668,0.028,0.7692,360790.0,131534.678,3.069,11.177298,11.257092,11.103642,11.257092,11.17116
510180.SH,20230202,3.668,3.685,3.685,3.642,3.658,-0.01,-0.2726,254897.5,93203.737,3.069,11.309265,11.309265,11.177298,11.226402,11.257092
510180.SH,20230203,3.658,3.647,3.647,3.588,3.617,-0.041,-1.1208,342043.0,123372.795,3.069,11.192643,11.192643,11.011572,11.100573,11.226402
510180.SH,20230206,3.617,3.594,3.595,3.55,3.569,-0.048,-1.3271,273016.25,97416.573,3.069,11.029986,11.033055,10.89495,10.953261,11.100573
510180.SH,20230207,3.569,3.568,3.591,3.566,3.581,0.012,0.3362,328745.0,117730.289,3.069,10.950192,11.020779,10.944054,10.990089,10.953261
510180.SH,20230208,3.581,3.581,3.598,3.566,3.575,-0.006,-0.1676,242656.5,86897.475,3.069,10.990089,11.042262,10.944054,10.971675,10.990089
510180.SH,20230209,3.575,3.571,3.615,3.56,3.613,0.038,1.0629,361930.0,130401.829,3.069,10.959399,11.094435,10.92564,11.088297,10.971675
510180.SH,20230210,3.613,3.614,3.614,3.58,3.591,-0.022,-0.6089,215338.25,77339.182,3.069,11.091366,11.091366,10.98702,11.020779,11.088297
510180.SH,20230213,3.591,3.588,3.618,3.576,3.615,0.024,0.6683,295977.0,106650.104,3.069,11.011572,11.103642,10.974744,11.094435,11.020779
510180.SH,20230214,3.615,3.619,3.626,3.606,3.626,0.011,0.3043,310411.25,112179.973,3.069,11.106711,11.128194,11.066814,11.128194,11.094435
510180.SH,20230215,3.626,3.617,3.638,3.593,3.6,-0.026,-0.717,317020.0,114408.169,3.069,11.100573,11.165022,11.026917,11.0484,11.128194
510180.SH,20230216,3.6,3.6,3.648,3.563,3.586,-0.014,-0.3889,397768.0,144229.601,3.069,11.0484,11.195712,10.934847,11.005434,11.0484
510180.SH,20230217,3.586,3.589,3.598,3.538,3.54,-0.046,-1.2828,464767.5,165984.025,3.069,11.014641,11.042262,10.858122,10.86426,11.005434
510180.SH,20230220,3.54,3.54,3.644,3.54,3.638,0.098,2.7684,578323.0,207204.054,3.069,10.86426,11.183436,10.86426,11.165022,10.86426
510180.SH,20230221,3.638,3.637,3.66,3.626,3.653,0.015,0.4123,366582.0,133659.484,3.069,11.161953,11.23254,11.128194,11.211057,11.165022
510180.SH,20230222,3.653,3.642,3.649,3.614,3.62,-0.033,-0.9034,292483.0,106160.561,3.069,11.177298,11.198781,11.091366,11.10978,11.211057
510180.SH,20230223,3.62,3.626,3.64,3.601,3.614,-0.006,-0.1657,269406.0,97528.832,3.069,11.128194,11.17116,11.051469,11.091366,11.10978
510180.SH,20230224,3.614,3.62,3.62,3.561,3.579,-0.035,-0.9685,350755.0,125546.989,3.069,11.10978,11.10978,10.928709,10.983951,11.091366
510180.SH,20230227,3.579,3.571,3.59,3.557,3.57,-0.009,-0.2515,273322.0,97686.825,3.069,10.959399,11.01771,10.916433,10.95633,10.983951
510180.SH,20230228,3.57,3.587,3.597,3.551,3.595,0.025,0.7003,248834.0,88859.244,3.069,11.008503,11.039193,10.898019,11.033055,10.95633
510180.SH,20230301,3.595,3.595,3.65,3.58,3.642,0.047,1.3074,336869.75,122226.702,3.069,11.033055,11.20185,10.98702,11.177298,11.033055
510180.SH,20230302,3.642,3.634,3.655,3.63,3.64,-0.002,-0.0549,354689.25,129213.636,3.069,11.152746,11.217194999999998,11.14047,11.17116,11.177298
510180.SH,20230303,3.64,3.644,3.663,3.632,3.659,0.019,0.522,840927.0,307014.082,3.069,11.183436,11.241746999999998,11.146608,11.229470999999998,11.17116
510180.SH,20230306,3.659,3.66,3.663,3.617,3.628,-0.031,-0.8472,378470.0,137342.552,3.069,11.23254,11.241746999999998,11.100573,11.134332,11.229470999999998
510180.SH,20230307,3.628,3.628,3.648,3.578,3.58,-0.048,-1.323,429889.25,155775.786,3.069,11.134332,11.195712,10.980882,10.98702,11.134332
510180.SH,20230308,3.58,3.559,3.579,3.552,3.57,-0.01,-0.2793,337011.0,120194.869,3.069,10.922571,10.983951,10.901088,10.95633,10.98702
510180.SH,20230309,3.57,3.57,3.576,3.535,3.556,-0.014,-0.3922,383812.5,136507.434,3.069,10.95633,10.974744,10.848915,10.913364,10.95633
510180.SH,20230310,3.556,3.532,3.542,3.497,3.5,-0.056,-1.5748,372424.75,131093.005,3.069,10.839708,10.870398,10.732293,10.7415,10.913364
510180.SH,20230313,3.5,3.494,3.55,3.494,3.548,0.048,1.3714,311119.0,109954.017,3.069,10.723086,10.89495,10.723086,10.888812,10.7415
510180.SH,20230314,3.548,3.529,3.549,3.5,3.526,-0.022,-0.6201,218774.25,77070.529,3.069,10.830501,10.891881,10.7415,10.821294,10.888812
510180.SH,20230315,3.526,3.545,3.558,3.53,3.538,0.012,0.3403,327705.0,116072.679,3.069,10.879605,10.919502,10.83357,10.858122,10.821294
510180.SH,20230316,3.538,3.52,3.533,3.491,3.496,-0.042,-1.1871,401192.01,141127.98,3.069,10.80288,10.842777,10.713879,10.729224,10.858122
510180.SH,20230317,3.496,3.521,3.566,3.5,3.521,0.025,0.7151,332819.25,117777.916,3.069,10.805949,10.944054,10.7415,10.805949,10.729224
510180.SH,20230320,3.521,3.53,3.536,3.491,3.495,-0.026,-0.7384,298342.01,104940.737,3.069,10.83357,10.851984,10.713879,10.726155,10.805949
