ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq
511090.SH,20230613,100.597,100.4,101.05,100.35,100.98,0.383,0.3807,14663.66,147576.79,1.0,94.184,94.794,94.137,94.728
511090.SH,20230614,100.98,101.342,101.55,101.189,101.299,0.319,0.3159,2621.3,26557.238,1.0,95.068,95.263,94.924,95.027
511090.SH,20230615,101.299,101.125,101.205,100.3,100.809,-0.49,-0.4837,4665.1,47081.437,1.0,94.864,94.939,94.09,94.568
511090.SH,20230616,100.809,100.309,100.65,100.16,100.289,-0.52,-0.5158,5258.3,52791.565,1.0,94.098,94.418,93.959,94.08
511090.SH,20230619,100.289,100.226,100.448,100.226,100.3,0.011,0.011,1076.6,10803.103,1.0,94.021,94.229,94.021,94.09
511090.SH,20230620,100.3,100.294,100.38,100.254,100.3,0.0,0.0,200.8,2014.565,1.0,94.084,94.165,94.047,94.09
511090.SH,20230621,100.3,100.35,100.649,100.305,100.631,0.331,0.33,1988.2,19983.058,1.0,94.137,94.417,94.095,94.401
511090.SH,20230626,100.631,100.64,100.731,100.606,100.731,0.1,0.0994,856.5,8623.225,1.0,94.409,94.494,94.377,94.494
511090.SH,20230627,100.731,100.732,100.828,100.62,100.699,-0.032,-0.0318,1530.5,15406.827,1.0,94.495,94.585,94.39,94.464
511090.SH,20230628,100.699,100.794,100.795,100.66,100.727,0.028,0.0278,705.0,7101.812,1.0,94.553,94.554,94.428,94.491
511090.SH,20230629,100.727,100.73,100.82,100.718,100.82,0.093,0.0923,533.0,5371.364,1.0,94.493,94.578,94.482,94.578
511090.SH,20230630,100.82,100.95,101.184,100.95,101.174,0.354,0.3511,2872.8,29040.895,1.0,94.7,94.919,94.7,94.91
511090.SH,20230703,101.174,101.177,101.274,101.115,101.155,-0.019,-0.0188,1503.2,15207.487,1.0,94.913,95.004,94.855,94.892
511090.SH,20230704,101.155,101.13,101.237,101.055,101.138,-0.017,-0.0168,2038.5,20621.979,1.0,94.869,94.969,94.798,94.876
511090.SH,20230705,101.138,101.141,101.229,101.07,101.227,0.089,0.088,1479.6,14960.517,1.0,94.879,94.962,94.812,94.96
511090.SH,20230706,101.227,101.24,101.327,101.152,101.222,-0.005,-0.0049,1869.3,18918.741,1.0,94.972,95.053,94.889,94.955
511090.SH,20230707,101.222,101.123,101.3,101.123,101.236,0.014,0.0138,2008.8,20332.863,1.0,94.862,95.028,94.862,94.968
511090.SH,20230710,101.236,101.236,101.299,101.135,101.279,0.043,0.0425,1943.3,19664.429,1.0,94.968,95.027,94.873,95.008
511090.SH,20230711,101.279,101.315,101.379,101.315,101.369,0.09,0.0889,2064.3,20920.897,1.0,95.042,95.102,95.042,95.093
511090.SH,20230712,101.369,101.409,101.45,101.351,101.422,0.053,0.0523,1871.0,18967.033,1.0,95.13,95.169,95.076,95.143
511090.SH,20230713,101.422,101.422,101.44,101.37,101.429,0.007,0.0069,2036.5,20652.313,1.0,95.143,95.159,95.094,95.149
511090.SH,20230714,101.429,101.39,101.4,101.297,101.358,-0.071,-0.07,1787.1,18110.559,1.0,95.113,95.122,95.025,95.083
511090.SH,20230717,101.358,101.306,101.483,101.306,101.44,0.082,0.0809,978.7,9923.281,1.0,95.034,95.2,95.034,95.159
511090.SH,20230718,101.44,101.49,101.62,101.49,101.613,0.173,0.1705,2083.1,21156.483,1.0,95.206,95.328,95.206,95.322
511090.SH,20230719,101.613,101.673,101.86,101.613,101.672,0.059,0.0581,2361.5,24018.834,1.0,95.378,95.553,95.322,95.377
511090.SH,20230720,101.672,101.67,101.772,101.59,101.766,0.094,0.0925,2207.9,22443.6,1.0,95.375,95.471,95.3,95.465
511090.SH,20230721,101.766,101.768,101.97,101.76,101.967,0.201,0.1975,2884.3,29382.672,1.0,95.467,95.657,95.46,95.654
511090.SH,20230724,101.967,102.167,102.167,102.0,102.095,0.128,0.1255,4395.9,44878.995,1.0,95.841,95.841,95.685,95.774
511090.SH,20230725,102.095,101.41,102.0,101.41,101.627,-0.468,-0.4584,5872.4,59759.628,1.0,95.131,95.685,95.131,95.335
511090.SH,20230726,101.627,101.615,101.62,101.451,101.56,-0.067,-0.0659,8536.2,86630.165,1.0,95.324,95.328,95.17,95.272
511090.SH,20230727,101.56,101.66,101.84,101.58,101.818,0.258,0.254,10322.7,104986.655,1.0,95.366,95.535,95.291,95.514
