ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq,pre_close_qfq
513100.SH,20230103,0.799,0.797,0.809,0.795,0.806,0.007,0.8761,3123326.74,250424.669,5.002,3.986594,4.0466180000000005,3.97659,4.031612,3.996598
513100.SH,20230104,0.806,0.801,0.805,0.8,0.804,-0.002,-0.2481,1808677.08,145215.892,5.002,4.006602,4.02661,4.0016,4.021608,4.031612
513100.SH,20230105,0.804,0.804,0.806,0.802,0.805,0.001,0.1244,3622862.0,291206.822,5.002,4.021608,4.031612,4.011604,4.02661,4.021608
513100.SH,20230106,0.805,0.799,0.8,0.796,0.799,-0.006,-0.7453,4265900.0,340506.187,5.002,3.996598,4.0016,3.981592,3.996598,4.02661
513100.SH,20230109,0.799,0.805,0.809,0.805,0.809,0.01,1.2516,3063903.0,247146.635,5.002,4.02661,4.0466180000000005,4.02661,4.0466180000000005,3.996598
513100.SH,20230110,0.809,0.808,0.808,0.804,0.805,-0.004,-0.4944,2384404.0,192202.904,5.002,4.041616,4.041616,4.021608,4.02661,4.0466180000000005
513100.SH,20230111,0.805,0.81,0.811,0.809,0.81,0.005,0.6211,2317915.4,187754.202,5.002,4.05162,4.056622,4.0466180000000005,4.05162,4.02661
513100.SH,20230112,0.81,0.817,0.819,0.817,0.818,0.008,0.9877,2268482.01,185563.507,5.002,4.086633999999999,4.096638,4.086633999999999,4.091635999999999,4.05162
513100.SH,20230113,0.818,0.819,0.819,0.814,0.815,-0.003,-0.3667,1946463.0,158791.276,5.002,4.096638,4.096638,4.071628,4.07663,4.091635999999999
513100.SH,20230116,0.815,0.817,0.819,0.814,0.815,0.0,0.0,1885863.87,154096.05,5.002,4.086633999999999,4.096638,4.071628,4.07663,4.07663
513100.SH,20230117,0.815,0.816,0.821,0.815,0.82,0.005,0.6135,2408458.0,196896.242,5.002,4.081632,4.106642,4.07663,4.10164,4.07663
513100.SH,20230118,0.82,0.819,0.823,0.819,0.821,0.001,0.122,2012846.14,165301.044,5.002,4.096638,4.116645999999999,4.096638,4.106642,4.10164
513100.SH,20230119,0.821,0.811,0.812,0.806,0.81,-0.011,-1.3398,3337042.28,270071.613,5.002,4.056622,4.061624,4.031612,4.05162,4.106642
513100.SH,20230120,0.81,0.807,0.816,0.806,0.815,0.005,0.6173,2622931.99,212517.405,5.002,4.036614,4.081632,4.031612,4.07663,4.05162
513100.SH,20230130,0.815,0.843,0.85,0.842,0.844,0.029,3.5583,6019738.17,509438.273,5.002,4.216685999999999,4.2517,4.211684,4.221687999999999,4.07663
513100.SH,20230131,0.844,0.835,0.837,0.832,0.832,-0.012,-1.4218,1935520.0,161528.535,5.002,4.17667,4.186674,4.161664,4.161664,4.221687999999999
513100.SH,20230201,0.832,0.841,0.847,0.84,0.847,0.015,1.8029,2623151.64,221268.472,5.002,4.206682,4.236694,4.20168,4.236694,4.161664
