ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq,pre_close_qfq
513500.SH,20230103,1.255,1.25,1.252,1.246,1.25,-0.005,-0.3984,3182964.0,397489.635,1.985,2.48125,2.48522,2.47331,2.48125,2.4911749999999997
513500.SH,20230104,1.25,1.247,1.249,1.243,1.245,-0.005,-0.4,2553710.0,318032.859,1.985,2.4752950000000005,2.4792650000000003,2.4673550000000004,2.471325,2.48125
513500.SH,20230105,1.245,1.25,1.251,1.245,1.246,0.001,0.0803,3550161.0,443052.569,1.985,2.48125,2.483235,2.471325,2.47331,2.471325
513500.SH,20230106,1.246,1.237,1.241,1.235,1.238,-0.008,-0.6421,2835184.3,350939.931,1.985,2.455445,2.463385,2.4514750000000003,2.45743,2.47331
513500.SH,20230109,1.238,1.254,1.255,1.251,1.254,0.016,1.2924,1975587.9,247437.439,1.985,2.48919,2.4911749999999997,2.483235,2.48919,2.45743
513500.SH,20230110,1.254,1.248,1.249,1.242,1.248,-0.006,-0.4785,2871258.0,357545.502,1.985,2.47728,2.4792650000000003,2.46537,2.47728,2.48919
513500.SH,20230111,1.248,1.255,1.258,1.254,1.256,0.008,0.641,2254070.0,283026.151,1.985,2.4911749999999997,2.4971300000000003,2.48919,2.49316,2.47728
513500.SH,20230112,1.256,1.264,1.266,1.262,1.264,0.008,0.6369,2048980.0,259038.965,1.985,2.50904,2.51301,2.5050700000000004,2.50904,2.49316
513500.SH,20230113,1.264,1.263,1.263,1.259,1.261,-0.003,-0.2373,1108487.95,139741.108,1.985,2.507055,2.507055,2.499115,2.503085,2.50904
513500.SH,20230116,1.261,1.263,1.264,1.26,1.262,0.001,0.0793,1859250.01,234611.931,1.985,2.507055,2.50904,2.5011,2.5050700000000004,2.503085
513500.SH,20230117,1.262,1.264,1.268,1.263,1.267,0.005,0.3962,1193614.0,151152.514,1.985,2.50904,2.51698,2.507055,2.514995,2.5050700000000004
