,日期,ETF名称,净值,涨跌幅,累计收益
0,2017-08-10T00:00:00.000,现金,1,0.00%,0.00%
1,2017-08-11T00:00:00.000,现金,1,0.00%,0.00%
2,2017-08-14T00:00:00.000,现金,1,0.00%,0.00%
3,2017-08-15T00:00:00.000,现金,1,0.00%,0.00%
4,2017-08-16T00:00:00.000,现金,1,0.00%,0.00%
5,2017-08-17T00:00:00.000,现金,1,0.00%,0.00%
6,2017-08-18T00:00:00.000,现金,1,0.00%,0.00%
7,2017-08-21T00:00:00.000,现金,1,0.00%,0.00%
8,2017-08-22T00:00:00.000,现金,1,0.00%,0.00%
9,2017-08-23T00:00:00.000,现金,1,0.00%,0.00%
10,2017-08-24T00:00:00.000,现金,1,0.00%,0.00%
11,2017-08-25T00:00:00.000,现金,1,0.00%,0.00%
12,2017-08-28T00:00:00.000,现金,1,0.00%,0.00%
13,2017-08-29T00:00:00.000,现金,1,0.00%,0.00%
14,2017-08-30T00:00:00.000,现金,1,0.00%,0.00%
15,2017-08-31T00:00:00.000,现金,1,0.00%,0.00%
16,2017-09-01T00:00:00.000,现金,1,0.00%,0.00%
17,2017-09-04T00:00:00.000,现金,1,0.00%,0.00%
18,2017-09-05T00:00:00.000,现金,1,0.00%,0.00%
19,2017-09-06T00:00:00.000,现金,1,0.00%,0.00%
20,2017-09-07T00:00:00.000,现金,1,0.00%,0.00%
21,2017-09-08T00:00:00.000,现金,1,0.00%,0.00%
22,2017-09-11T00:00:00.000,现金,1,0.00%,0.00%
23,2017-09-12T00:00:00.000,现金,1,0.00%,0.00%
24,2017-09-13T00:00:00.000,现金,1,0.00%,0.00%
25,2017-09-14T00:00:00.000,创业板,0.9995,-0.56%,-0.05%
26,2017-09-15T00:00:00.000,创业板,0.9967034135422497,-0.28%,-0.33%
27,2017-09-18T00:00:00.000,创业板,1.011245663122552,1.46%,1.12%
28,2017-09-19T00:00:00.000,创业板,1.0011779518746504,-1.00%,0.12%
29,2017-09-20T00:00:00.000,创业板,1.0073304420817013,0.61%,0.73%
30,2017-09-21T00:00:00.000,创业板,0.9955847789591495,-1.17%,-0.44%
31,2017-09-22T00:00:00.000,创业板,0.9916695579182988,-0.39%,-0.83%
32,2017-09-25T00:00:00.000,南方原油,0.9890018619355064,-0.22%,-1.10%
33,2017-09-26T00:00:00.000,南方原油,1.0189044938193348,3.02%,1.89%
34,2017-09-27T00:00:00.000,南方原油,1.0189044938193348,0.00%,1.89%
35,2017-09-28T00:00:00.000,南方原油,0.9989694058967826,-1.96%,-0.10%
36,2017-09-29T00:00:00.000,南方原油,1.0133669693964036,1.44%,1.34%
37,2017-10-09T00:00:00.000,南方原油,0.9845718423971614,-2.84%,-1.54%
38,2017-10-10T00:00:00.000,南方原油,0.98789435705092,0.34%,-1.21%
39,2017-10-11T00:00:00.000,南方原油,1.0078294449734722,2.02%,0.78%
40,2017-10-12T00:00:00.000,南方原油,1.0089369498580585,0.11%,0.89%
41,2017-10-13T00:00:00.000,南方原油,1.0078294449734724,-0.11%,0.78%
42,2017-10-16T00:00:00.000,南方原油,1.0144744742809897,0.66%,1.45%
43,2017-10-17T00:00:00.000,南方原油,1.0133669693964036,-0.11%,1.34%
