date,name,ret_3,vol_3,slope_3,r2_3,mdd_3,sxr_3,sharp_3,ret_5,vol_5,slope_5,r2_5,mdd_5,sxr_5,sharp_5,ret_10,vol_10,slope_10,r2_10,mdd_10,sxr_10,sharp_10,ret_20,vol_20,slope_20,r2_20,mdd_20,sxr_20,sharp_20,ret_23,vol_23,slope_23,r2_23,mdd_23,sxr_23,sharp_23,ret_30,vol_30,slope_30,r2_30,mdd_30,sxr_30,sharp_30,ret_60,vol_60,slope_60,r2_60,mdd_60,sxr_60,sharp_60,ret_120,vol_120,slope_120,r2_120,mdd_120,sxr_120,sharp_120,target,rank_ret_3,rank_vol_3,rank_slope_3,rank_r2_3,rank_mdd_3,rank_sxr_3,rank_sharp_3,rank_ret_5,rank_vol_5,rank_slope_5,rank_r2_5,rank_mdd_5,rank_sxr_5,rank_sharp_5,rank_ret_10,rank_vol_10,rank_slope_10,rank_r2_10,rank_mdd_10,rank_sxr_10,rank_sharp_10,rank_ret_20,rank_vol_20,rank_slope_20,rank_r2_20,rank_mdd_20,rank_sxr_20,rank_sharp_20,rank_ret_23,rank_vol_23,rank_slope_23,rank_r2_23,rank_mdd_23,rank_sxr_23,rank_sharp_23,rank_ret_30,rank_vol_30,rank_slope_30,rank_r2_30,rank_mdd_30,rank_sxr_30,rank_sharp_30,rank_ret_60,rank_vol_60,rank_slope_60,rank_r2_60,rank_mdd_60,rank_sxr_60,rank_sharp_60,rank_ret_120,rank_vol_120,rank_slope_120,rank_r2_120,rank_mdd_120,rank_sxr_120,rank_sharp_120,market_max_slope,market_max_ret
2013-08-29,黄金ETF,0.008658008658008587,0.2242067915983137,0.0030586541921554505,0.12197523916712294,-0.010965688008489615,0.0003730800766176843,0.013059630642143483,0.0302137067059689,0.17683664757796738,0.006622758873033277,0.6927387295948587,-0.010965688008489615,0.00458784156811815,0.03544678712065621,0.043283582089552075,0.1605361534107522,0.004288459819433264,0.7308500126122883,-0.011691633175009144,0.0031342209131200926,0.025146924764417017,0.057888762769580104,0.20195655690546005,0.004757432759555991,0.906330235094772,-0.02129277566539926,0.004311805151415951,0.02244532006470538,0.06473724295506478,0.19041880014690557,0.003467460765597414,0.74601681486412,-0.031238238614979368,0.0025867840360172855,0.017301075363467845,,,,,,,,,,,,,,,,,,,,,,0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.003467460765597414,0.06473724295506478
2013-08-29,现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.003467460765597414,0.06473724295506478
2013-08-30,黄金ETF,0.0028787333573228047,0.23161693288443153,-0.007074637424831997,0.9084027252081717,-0.014149274849663968,-0.006426619916577107,-0.029280387514131246,0.019758507135016368,0.18781066373351588,0.0016955266955267065,0.12039459341618675,-0.014149274849663968,0.0002041322471342285,0.00857146254668487,0.027654867256637017,0.15833607427553245,0.004065499717673617,0.6974298369316916,-0.014149274849663968,0.002835400805142949,0.02415109022335407,0.08107059736229649,0.1759479696092021,0.004559021126961888,0.8972311697044806,-0.02129277566539926,0.004090495858451454,0.024517724697631083,0.05328798185941053,0.19065706396711787,0.003726453056360929,0.8052522771545388,-0.031238238614979368,0.003000734809344129,0.018571252776685657,,,,,,,,,,,,,,,,,,,,,,0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.003726453056360929,0.05328798185941053
2013-08-30,现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.003726453056360929,0.05328798185941053
2013-09-02,黄金ETF,-0.021223912274495937,0.06149315636379869,-0.005185979971387698,0.9542360060514375,-0.010371959942775363,-0.004948648815359745,-0.07253813141216511,-0.0018037518037518074,0.17503922850101414,-0.002302986685858222,0.19914430182808573,-0.02122391227449595,-0.0004586266756746127,-0.012445937569641349,0.010960906101570966,0.1610256078230027,0.0038044026214081594,0.6138797264117006,-0.02122391227449595,0.0023354456403899978,0.02224463733726589,0.05209125475285181,0.16918543002534692,0.00460704056552032,0.8933370475937079,-0.02122391227449595,0.00411564001694637,0.02571102217891614,0.041400075272864045,0.19308736057616357,0.0039353710823878145,0.8550445747800589,-0.026106696935300776,0.003364917693742029,0.019377725286414058,,,,,,,,,,,,,,,,,,,,,,0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0039353710823878145,0.041400075272864045
2013-09-02,现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0039353710823878145,0.041400075272864045
2013-09-03,黄金ETF,-0.012160228898426273,0.044183947697208625,-0.004485109436670241,0.8928571428571412,-0.008970218873340478,-0.004004561997026993,-0.08277561210072736,-0.006117308384310904,0.17330772926937307,-0.005624336752741413,0.9353633269202295,-0.02299257163070391,-0.005260798336763928,-0.03068248554034717,0.021072088724584104,0.14591209709270495,0.0024540559782850507,0.340072682101477,-0.02299257163070391,0.0008345573985625612,0.01573999724232992,0.0659976842917791,0.15729363847965616,0.004269706901285848,0.8428006613993113,-0.02299257163070391,0.0035985118003849167,0.025522231090724157,0.045024593265228896,0.19196488146725607,0.004100905503239635,0.8712014482867921,-0.02299257163070391,0.0035727148137096464,0.0203050425076228,,,,,,,,,,,,,,,,,,,,,,0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.004100905503239635,0.045024593265228896
2013-09-03,现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004100905503239635,0.045024593265228896
2013-09-04,黄金ETF,0.0,0.13123585676478292,0.0036140224069389757,0.5714285714285814,-0.001807011203469423,0.002065155661108022,0.025588561500765647,-0.014149274849663995,0.11970371556845753,-0.0015379113018597962,0.21835144071800516,-0.012160228898426256,-0.00033580514845758943,-0.011857110608740331,0.02312775330396466,0.1481555991929639,0.0018489984591679508,0.22808915646296923,-0.02299257163070391,0.00042173649885294775,0.011691008529593747,0.08275058275058278,0.15411192195856005,0.003818711511958553,0.8156272484460558,-0.02299257163070391,0.0031146451631080324,0.023268946377477784,0.08107059736229649,0.16960523698154775,0.0038503734651858276,0.8531614907752649,-0.02299257163070391,0.0032849903655994632,0.02143797992695172,,,,,,,,,,,,,,,,,,,,,,0,0.75,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0038503734651858276,0.08107059736229649
2013-09-04,现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.75,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0038503734651858276,0.08107059736229649
